,검색어,순번,한자,품사,설명,링크
0,학원,1,(學員),「명사」,공부하는인원.,https://stdict.korean.go.kr/search/searchView.do?word_no=362856&searchKeywordTo=3
1,학원,2,(學院),「명사」,『교육』일정한목적ㆍ교과과정ㆍ설비ㆍ제도및법규에의하여계속적으로학생에게교육을실시하는기관.=학교.,https://stdict.korean.go.kr/search/searchView.do?word_no=503671&searchKeywordTo=3
2,학원,3,(學園),「명사」,『교육』학교및기타교육기관을통틀어이르는말.,https://stdict.korean.go.kr/search/searchView.do?word_no=362857&searchKeywordTo=3
3,학원,4,(學園),「명사」,"『문학』1919년에발간된최초의학생잡지.창가,소설따위가발표되어소년ㆍ소녀들에게처음으로문학적인분위기에접하는계기를만들어주었다.",https://stdict.korean.go.kr/search/searchView.do?word_no=362858&searchKeywordTo=3
4,학교,NOPE,(學校),「명사」,『교육』일정한목적ㆍ교과과정ㆍ설비ㆍ제도및법규에의하여계속적으로학생에게교육을실시하는기관.≒학원.,https://stdict.korean.go.kr/search/searchView.do?word_no=361333&searchKeywordTo=3
5,역사,1,(力士),「명사」,뛰어나게힘이센사람.,https://stdict.korean.go.kr/search/searchView.do?word_no=458481&searchKeywordTo=3
6,역사,2,(役事),「명사」,『건설』토목이나건축따위의공사.,https://stdict.korean.go.kr/search/searchView.do?word_no=230121&searchKeywordTo=3
7,역사,3,(歷史),「명사」,"인류사회의변천과흥망의과정.또는그기록.≒사,춘추.",https://stdict.korean.go.kr/search/searchView.do?word_no=458484&searchKeywordTo=3
8,역사,4,(歷事/歷仕),「명사」,여러대의임금을내리섬김.,https://stdict.korean.go.kr/search/searchView.do?word_no=230139&searchKeywordTo=3
9,역사,5,(歷辭),「명사」,"『역사』조선시대에,새로임명된벼슬아치가감독관아를돌아다니며인사하던일.그벼슬에임명된지10일이내에,의정부ㆍ전조(銓曹)등에인사를다녔다.=참알.",https://stdict.korean.go.kr/search/searchView.do?word_no=230141&searchKeywordTo=3
10,역사,6,(繹史),「명사」,"『책명』중국청나라때마숙(馬驌)이지은역사책.태고로부터진(秦)나라말기까지의고서를섭렵하여뽑아낸사료를유형별로모아논단(論斷)을붙인것으로,청나라때의경사(經史)고정학(考訂學)에많은영향을끼쳤다.160권.",https://stdict.korean.go.kr/search/searchView.do?word_no=230143&searchKeywordTo=3
11,역사,7,(譯史),「명사」,"『역사』고려시대에,중서문하성에속한구실아치.",https://stdict.korean.go.kr/search/searchView.do?word_no=458483&searchKeywordTo=3
12,역사,8,(譯使),「명사」,통역을맡은사신.,https://stdict.korean.go.kr/search/searchView.do?word_no=230707&searchKeywordTo=3
13,역사,9,(譯詞),「명사」,외국노래의가사를번역하는일.또는그가사.,https://stdict.korean.go.kr/search/searchView.do?word_no=230708&searchKeywordTo=3
14,역사,10,(轢死),「명사」,차에치여죽음.,https://stdict.korean.go.kr/search/searchView.do?word_no=230709&searchKeywordTo=3
15,수학,1,(水學),「명사」,물의현상에관하여연구하는학문.,https://stdict.korean.go.kr/search/searchView.do?word_no=198681&searchKeywordTo=3
16,수학,2,(受學),「명사」,학문을배우거나수업을받음.,https://stdict.korean.go.kr/search/searchView.do?word_no=198682&searchKeywordTo=3
17,수학,3,(修學),「명사」,학문을닦음.,https://stdict.korean.go.kr/search/searchView.do?word_no=198683&searchKeywordTo=3
18,수학,4,(粹學),「명사」,순수한학문.,https://stdict.korean.go.kr/search/searchView.do?word_no=198685&searchKeywordTo=3
19,수학,5,(數學),「명사」,"『수학』수량및공간의성질에관하여연구하는학문.대수학,기하학,해석학및이를응용하는학문을통틀어이르는말이다.",https://stdict.korean.go.kr/search/searchView.do?word_no=452991&searchKeywordTo=3
20,수학,6,(瘦鶴),「명사」,여윈학.,https://stdict.korean.go.kr/search/searchView.do?word_no=198961&searchKeywordTo=3
21,소설,1,(小舌),「명사」,하찮거나쓸모없는변설(辯舌).,https://stdict.korean.go.kr/search/searchView.do?word_no=190897&searchKeywordTo=3
22,소설,2,(小雪),「명사」,"이십사절기의하나.입동과대설사이에들며,이때태양의황경(黃經)은240도가된다.11월22일이나23일경이다.",https://stdict.korean.go.kr/search/searchView.do?word_no=443956&searchKeywordTo=3
23,소설,3,(小說),「명사」,"『문학』사실또는작가의상상력에바탕을두고허구적으로이야기를꾸며나간산문체의문학양식.일정한구조속에서배경과등장인물의행동,사상,심리따위를통하여인간의모습이나사회상을드러낸다.분량에따라장편ㆍ중편ㆍ단편으로,내용에따라과학소설ㆍ역사소설ㆍ추리소설따위로구분할수있으며,옛날의설화나서사시따위의전통을이어받아근대에와서발달한문학양식이다.≒이야기.",https://stdict.korean.go.kr/search/searchView.do?word_no=184185&searchKeywordTo=3
24,소설,4,(所說),「명사」,설명하는바.,https://stdict.korean.go.kr/search/searchView.do?word_no=443957&searchKeywordTo=3
25,소설,5,(昭雪),「명사」,원통한죄나억울한누명따위를밝혀씻음.≒소석.,https://stdict.korean.go.kr/search/searchView.do?word_no=184186&searchKeywordTo=3
26,소설,6,(素雪),「명사」,하얀눈.=백설.,https://stdict.korean.go.kr/search/searchView.do?word_no=443958&searchKeywordTo=3
27,소설,7,(掃雪),「명사」,쌓인눈을치움.또는그런일.=제설.,https://stdict.korean.go.kr/search/searchView.do?word_no=190900&searchKeywordTo=3
28,소설,8,(疏泄),「명사」,『한의』뭉쳐있는기운을풀어서소통시키는기능.,https://stdict.korean.go.kr/search/searchView.do?word_no=443959&searchKeywordTo=3
29,소설,9,(騷說),「명사」,시끄럽게떠도는소문.,https://stdict.korean.go.kr/search/searchView.do?word_no=190902&searchKeywordTo=3
30,발,1,NOPE,「명사」,사람이나동물의다리맨끝부분.,https://stdict.korean.go.kr/search/searchView.do?word_no=132767&searchKeywordTo=3
31,발,2,NOPE,「명사」,나무나이테의굵기.,https://stdict.korean.go.kr/search/searchView.do?word_no=132544&searchKeywordTo=3
