제목,분류,동영상 길이,동영상 타입,조회수,좋아요 수,댓글 수,Disabled,en,es,de,pt,unk,fr,vi,ko,id,ru,ar,ja,zh-TW,th,fa,it,zh-CN
MOMOLAND X NATTI NATASHA 'Yummy Yummy Love' M/V, Entertainment,209,Short,32140155,664546,56895,0,60,10,9,1,3,3,9,3,0,0,0,0,0,0,0,0,0
DRIPPIN(드리핀) ‘Villain’ MV, Entertainment,205,Short,11507132,53850,6136,0,57,6,0,1,3,0,0,4,7,21,0,0,0,0,0,0,0
[입덕직캠] 갓 더 비트 윈터 직캠 4K 'Step Back' (GOT the beat WINTER FanCam) | @MCOUNTDOWN_2022.1.27, Entertainment,272,Medium,10728479,394370,20484,0,47,0,1,1,8,5,3,12,3,0,1,3,1,1,0,0,0
[M/V] 로켓펀치(Rocket Punch) 'CHIQUITA', Entertainment,195,Short,8719965,57027,4654,0,43,8,1,4,3,1,7,9,9,1,3,6,0,0,1,1,0
P1Harmony (피원하모니) - 'Do It Like This' MV, Entertainment,238,Short,7284908,205674,17742,0,71,9,4,2,7,0,0,1,3,0,0,0,0,1,1,0,0
[최초공개] Kep1er(케플러) - WA DA DA (4K) | Kep1er DEBUT SHOW | Mnet 220103 방송, Entertainment,256,Medium,6393060,285985,4636,0,38,7,2,2,5,0,6,30,2,0,1,6,0,0,0,0,0
[최초공개] Kep1er(케플러) - MVSK (4K) | Kep1er DEBUT SHOW | Mnet 220103 방송, Entertainment,211,Short,6240152,282384,9037,0,64,6,1,0,0,0,2,12,1,0,0,13,0,0,0,0,0
[MV] VIVIZ _ BOP BOP!, Entertainment,225,Short,5813972,330452,22401,0,48,11,3,4,8,2,6,10,1,0,0,2,0,0,0,4,0
[단독샷캠] 에스파 'Dreams Come True' 단독샷 별도녹화│aespa ONE TAKE STAGE│@SBS Inkigayo_2022.01.09., Entertainment,221,Short,5733558,119597,2357,0,36,4,1,1,2,1,1,26,3,0,0,21,1,1,0,2,0
[릴레이댄스] Kep1er(케플러) - WA DA DA (4K), Entertainment,204,Short,4750106,293026,5796,0,41,11,2,1,4,1,0,27,2,0,0,8,1,0,1,0,0
[최초공개] Kep1er(케플러) - Shine (Kep1er Ver.) (4K) | Kep1er DEBUT SHOW | Mnet 220103 방송, Entertainment,266,Medium,4545796,196307,4957,0,56,4,2,2,2,2,3,16,4,0,0,6,0,0,0,2,0
편안해지는 영상, Entertainment,16,Short,3539563,44027,647,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0
Kep1er(케플러) - WA DA DA @인기가요 inkigayo 20220123, Entertainment,199,Short,3306473,99729,1750,0,43,1,0,1,2,0,2,43,4,0,0,2,0,0,1,0,1
"""꿈은 모르겠고요 아이스크림이 먹고 싶어요"" 천만 분의 일 확률 무통각증 환자 윤찬영.zip #모았캐치 #의사요한 #SBSCatch", Entertainment,1546,Long,3193013,17134,1312,0,2,0,0,0,1,0,1,95,1,0,0,0,0,0,0,0,0
♨핫클립♨ ＂원곡으로 착각할 정도..＂ 공감과 상상을 자극하는 목소리 33호 가수 '제발'｜싱어게인2｜JTBC 220124 방송, Entertainment,540,Medium,3184052,36829,3901,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0
잘 봐 엄마들 기싸움이다! 박신혜 가짜 엄마 돈자랑에 기 눌려 아들에게 바로 일러바치는 미란여사님 #모았캐치 #상속자들 #SBSCatch, Entertainment,1774,Long,3134439,16200,1153,0,1,0,0,3,1,0,0,94,0,1,0,0,0,0,0,0,0
aespa(에스파) - Dreams Come True @인기가요 inkigayo 20220109, Entertainment,226,Short,2884295,130387,3336,0,62,4,1,2,1,1,1,14,4,1,0,8,0,1,0,0,0
Minecraft #shorts, Entertainment,19,Short,2839471,150673,585,0,3,53,1,6,17,0,8,0,4,1,0,0,0,0,0,5,0
[단독샷캠] 케플러 'WA DA DA' 단독샷 별도녹화│Kep1er ONE TAKE STAGE│@SBS Inkigayo_2022.01.09., Entertainment,201,Short,2692049,86492,1264,0,29,4,3,1,5,0,1,25,1,0,1,30,0,0,0,0,0
고급지식퀴즈, Entertainment,1483,Long,2562848,19894,1632,0,6,0,0,0,1,0,0,93,0,0,0,0,0,0,0,0,0
넌뭔데｜JTBC봐야지 #shorts, Entertainment,23,Short,2547008,37672,415,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
♨핫클립♨ ＂이선희 선배님 곡＂ 더 진해진 보컬의 아기 기타리스트♥ 64호 가수 '추억의 책장을 넘기면'｜싱어게인2｜JTBC 220110 방송, Entertainment,603,Medium,2313502,25929,1642,0,2,0,0,0,3,0,0,95,0,0,0,0,0,0,0,0,0
[찜꽁습꽁] 10년 전 💖차준환💖 선수의 귀염뽀짝 피겨 꿈나무 시절 모음!ㅣ김연아의 Kiss & CryㅣSBS ENTER., Entertainment,951,Medium,2245769,23010,1490,0,3,0,0,1,1,0,0,92,0,2,0,1,0,0,0,0,0
[놀면 뭐하니?] 막내 재석은 오랜만이지? 오디오가 비질 않는 조동아리 형님들과의 만남 MBC 220219 방송 (Hangout with Yoo), Entertainment,895,Medium,2242191,27278,1902,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
[릴레이댄스] TREASURE (트레저) - 직진 (JIKJIN) (4K), Entertainment,210,Short,2230706,304410,6757,0,56,2,3,0,5,0,4,13,10,0,0,1,0,0,1,0,1
윤은혜, Entertainment,2366,Long,2197242,21707,2195,0,20,0,0,0,0,0,0,79,0,0,0,0,1,0,0,0,0
[BE ORIGINAL] TAEYEON(태연) 'INVU' (4K), Entertainment,215,Short,2178866,165165,3520,0,35,3,0,5,4,2,3,44,1,0,1,0,0,1,0,0,0
[MV] Suzy(수지) _ Satellite, Entertainment,224,Short,2102985,110619,7711,0,40,2,1,3,8,2,6,30,6,0,0,0,0,0,0,1,0
మనసుగల రుచి అంటే మాజా #ManasunnaManushulavvandi, Entertainment,30,Short,2326160,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[라디오스타] 연기력 짱👍 절로 읊조리게 되는 합격 개인기🤩,MBC 220112 방송", Entertainment,210,Short,2086200,18896,881,0,1,0,0,0,1,0,0,98,0,0,0,0,0,0,0,0,0
다시보면 보이는 소름돋는 시크릿 가든 엔딩! 손예진이 여기서 왜 나와...?😮 #시크릿가든 #모았캐치 #SBSCatch, Entertainment,1166,Medium,2042550,9630,824,0,3,0,0,0,1,0,0,96,0,0,0,0,0,0,0,0,0
[MV] Apink(에이핑크) _ Dilemma, Entertainment,218,Short,1994276,116551,5580,0,59,1,0,2,0,1,5,16,5,0,0,3,1,0,0,7,0
쉬지않는토크, Entertainment,1943,Long,1988480,15854,585,0,9,0,0,0,2,0,0,87,1,0,0,0,0,1,0,0,0
"[나 혼자 산다 예고] ＜2022 동계올림픽 특집! 핑크 보이 곽윤기의 핑크빛 휴일 💗 & 빙상계의 미소천사 김아랑 🎇＞ 436회, MBC 220304 방송", Entertainment,94,Short,1972052,30988,1577,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
"♨핫클립♨ “힘들었던 시기에 힘이 되어 준 노래.” 듣기만 해도 눈물 나는 명곡,, ’한숨’ 부르는 33호 가수｜JTBC 220117 방송", Entertainment,528,Medium,1853611,24181,1848,0,2,0,1,0,1,0,0,96,0,0,0,0,0,0,0,0,0
♨핫클립♨ 심사위원 전원 기립👏👏 초초초고음으로 장내를 뒤집어 놓은 17호 가수 '창밖의 여자'｜싱어게인2｜JTBC 220117 방송, Entertainment,572,Medium,1827617,21554,2472,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
[2021 가요대전 4K] aespa(에스파) - Next Level+Savage @가요대전 Gayo Daejeon 20211225, Entertainment,447,Medium,1803772,78133,2057,0,47,2,4,2,1,0,1,35,5,0,0,0,1,1,0,0,0
하하뭐하니, Entertainment,1759,Long,1651665,14658,734,0,6,2,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0
[릴레이댄스] 최예나 (YENA) - SMILEY (4K), Entertainment,194,Short,1601208,65424,1179,0,10,1,0,0,2,0,2,71,0,0,1,8,0,0,0,1,0
[BE ORIGINAL] Apink(에이핑크) 'Dilemma' (4K), Entertainment,222,Short,1583480,71203,2889,0,57,7,2,4,3,0,3,14,3,1,0,2,0,1,0,2,0
자연스러운PPL, Entertainment,653,Medium,1555116,15148,764,0,5,0,0,1,1,0,0,92,1,0,0,0,0,0,0,0,0
[MV] YOUNG TAK(영탁) _ Wanna go get some abalone(전복 먹으러 갈래), Entertainment,170,Short,1536577,20293,18963,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0
♨핫클립♨ ＂아무나 갖지 못하는 능력..＂ 진한 여운에 허덕이게 만든 7호 가수 '내 마음 갈 곳을 잃어'｜싱어게인2｜JTBC 220117 방송, Entertainment,511,Medium,1542858,14416,1074,0,2,0,0,0,2,0,0,96,0,0,0,0,0,0,0,0,0
키조개한마리#pen shell#노량진수산시장 #구독부탁드립니다, Entertainment,45,Short,1540445,10089,180,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
‘최초 공개’ 믿듣탱🎧 ‘태연’의 ‘INVU’ 무대, Entertainment,288,Medium,1500086,75790,2798,0,22,1,1,1,4,0,2,65,1,1,0,0,0,0,0,1,0
"바지,후드티 빠진 고무줄.끈 간단히 넣는 방법", Entertainment,7,Short,1414994,5534,37,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
"♨핫클립♨ ＂피아노 웨이브..＂ 말 그대로 찢으셨어요,, 역대급 무대 갱신↗ 31호 가수 '그건 너'｜싱어게인2｜JTBC 220207 방송", Entertainment,719,Medium,1402034,15857,1221,0,1,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0
"The Wall Song ร้องข้ามกำแพง|EP.78|เกรซ กาญจน์เกล้า,เป็ก เปรมณัช,บิวกิ้น พุฒิพงศ์| 3 มี.ค. 65 FULL EP", Entertainment,3965,Long,1379061,22125,942,0,0,0,0,0,0,0,0,0,2,0,0,0,0,96,0,0,0
IVE(아이브) - ELEVEN @인기가요 inkigayo 20220109, Entertainment,202,Short,1368537,45061,880,0,49,1,2,1,5,0,7,27,2,0,0,5,1,0,0,0,0
"[최고의 5분] 이승윤, 자연인 촬영 중 죽다 살아났다 MBN 220206 방송", Entertainment,529,Medium,1364680,17625,634,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
