제목,분류,동영상 길이,동영상 타입,조회수,좋아요 수,댓글 수,Disabled,de,en,pt,fr,es,ru,unk,it,vi,ko,id,ar,th,ja,fa,hi
Amazon’s Big Game Commercial: Mind Reader, Science & Technology,91,Short,69010653,20521,1684,0,2,91,1,2,1,1,1,1,0,0,0,0,0,0,0,0
Zach Braff and Donald Faison Sing a Duet for Home Internet | T-Mobile, Science & Technology,31,Short,41075712,3937,457,0,1,94,0,1,1,0,2,0,1,0,0,0,0,0,0,0
[CES 2022] The Better Life You Deserve : Main | LG, Science & Technology,1750,Long,36528076,781,75,0,0,51,2,2,4,0,0,2,0,4,1,0,0,0,0,0
Miley Cyrus Sings a Song for 5G Phones | T-Mobile, Science & Technology,31,Short,29626274,3213,731,0,1,85,0,1,4,0,7,0,2,0,0,0,0,0,0,0
[CES 2022] THE STAGE 2022 : Your Experience Begins│LG, Science & Technology,1899,Long,26642023,3481,236,0,0,88,0,2,2,1,1,0,4,1,1,0,0,0,0,0
Exynos 2200: Playtime is over | Samsung, Science & Technology,60,Short,21794563,15342,1587,0,0,87,1,0,1,0,3,1,4,1,1,0,0,0,0,0
Galaxy S21 FE 5G: Official Introduction Film | Samsung, Science & Technology,60,Short,20603391,29991,1759,0,1,76,0,0,8,1,0,0,2,1,5,2,1,0,0,0
[CES 2022] Together for tomorrow: Full Replay | Samsung, Science & Technology,3305,Long,18458053,2780,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galaxy S21 Series 5G: Everyday made epic | Samsung, Science & Technology,30,Short,17448512,1845,103,0,1,45,0,0,1,2,8,1,1,1,6,0,0,0,0,0
OLED World by Diamond Pixel™  (Samsung Display), Science & Technology,96,Short,17194745,1445,54,0,1,26,0,0,0,0,1,0,1,5,3,0,0,0,0,0
Galaxy S22 Ultra: Official Introduction Film | Samsung, Science & Technology,207,Short,16396991,53952,2892,0,2,85,0,1,2,0,4,3,0,0,1,1,0,0,0,0
Galaxy S22 Ultra Official film: The epic standard | Samsung, Science & Technology,36,Short,16403584,32164,1633,0,0,81,8,0,4,1,1,0,0,1,2,2,0,0,0,0
Samsung Galaxy Unpacked February 2022: Official Trailer, Science & Technology,30,Short,15558255,17630,1185,0,6,73,0,1,2,5,2,1,2,1,5,1,0,1,0,0
Samsung Galaxy Unpacked February 2022: Tiger in the city, Science & Technology,39,Short,15394355,16417,1133,0,3,69,2,1,3,3,5,0,2,1,7,2,0,0,1,1
We are behind every wish | Samsung, Science & Technology,179,Short,12884421,5062,367,0,0,93,0,0,0,1,0,2,0,0,3,0,0,0,1,0
Jackie Aina presents Security Checkup | Safer with Google, Science & Technology,55,Short,10916121,137,64,0,2,43,0,0,0,0,1,1,0,0,1,0,0,0,0,0
LG 트롬 오브제컬렉션 :  6모션 건조 뮤지컬 편 (Feat. 티키틱), Science & Technology,148,Short,10703192,1315,221,0,0,0,0,0,0,0,2,0,0,98,0,0,0,0,0,0
Galaxy Unpacked February 2022: Official Replay l Samsung, Science & Technology,3885,Long,9393138,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emma Chamberlain presents Security Checkup | Safer with Google, Science & Technology,46,Short,9608272,248,33,0,1,25,0,0,0,0,1,1,2,0,0,0,0,1,0,0
iPhone 13 | Run Baby Run | Apple, Science & Technology,39,Short,8988890,18925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Alexa - Podcast, Science & Technology,16,Short,9007296,79,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Freestyle: Unexpected joy everywhere | Samsung, Science & Technology,65,Short,7559409,2464,125,0,1,67,0,0,0,1,6,0,0,1,6,0,0,0,0,0
Trixie Mattel presents Security Checkup | Safer with Google, Science & Technology,61,Short,7861675,271,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Get ready for an epic pre-booking | Samsung, Science & Technology,41,Short,7403767,384,58,0,0,20,0,0,0,0,2,0,0,0,7,0,0,0,0,3
Amazon Alexa - Funk, Science & Technology,16,Short,8735467,107,16,0,0,6,1,1,0,0,1,1,2,0,1,0,0,0,0,0
nova 9 | متوفر الآن, Science & Technology,30,Short,7174971,92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Freestyle: Official Launch Film | Samsung, Science & Technology,73,Short,7172497,9464,392,0,4,84,0,1,1,0,4,0,1,1,3,1,0,0,0,0
iPhone 13 Pro로 찍다 | 박찬욱 감독 작품 - 일장춘몽 | Apple, Science & Technology,1292,Long,6784256,28963,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Separation of Conjoined Twins Lily and Addy Altobelli, Science & Technology,842,Medium,6060694,52732,1649,0,1,87,0,1,2,0,7,0,1,0,1,0,0,0,0,0
iPhone 13 | Doin’ Laps | Apple, Science & Technology,69,Short,5816933,39873,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samsung Galaxy Unpacked February 2022: Break the rules of light, Science & Technology,30,Short,5770229,24392,1380,0,4,85,0,0,0,2,1,3,1,2,1,1,0,0,0,0
Galaxy Z Flip3: Flex Mode for your swing | Samsung, Science & Technology,16,Short,5608908,3007,151,0,0,80,1,0,0,2,4,0,1,5,7,0,0,0,0,0
How to Prevent the Next Pandemic, Science & Technology,85,Short,5444931,5188,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
