제목,분류,동영상 길이,동영상 타입,조회수,좋아요 수,댓글 수,Disabled,id,en,ko,es,unk,it,pt,zh-TW,fr,ja,vi,de,fa,ru,zh-CN,th,ar,hi
"NMIXX ""O.O"" M/V", Music,214,short,43590698,902841,164963,0,7,59,1,14,1,5,2,3,1,1,3,0,0,0,0,0,0,0
"TAEYONG, JENO, HENDERY, YANGYANG, GISELLE 'ZOO' Stage Video", Music,189,short,33026667,1350492,25041,0,2,56,1,11,3,4,2,0,3,1,3,6,3,2,0,0,0,0
MOMOLAND X NATTI NATASHA 'Yummy Yummy Love' M/V, Entertainment,209,short,32141030,664555,56893,0,0,59,3,11,3,0,1,0,3,0,9,9,0,0,0,0,0,0
ENHYPEN (엔하이픈) 'Blessed-Cursed' Official MV, Music,189,short,27648587,1865884,150160,0,9,61,0,8,9,1,2,0,2,0,1,1,1,0,0,0,0,0
Encanto OST (acapella), Music,96,short,24924927,610094,13452,0,2,56,8,15,7,0,2,0,1,0,5,1,1,0,0,0,0,0
fromis_9 (프로미스나인) 'DM' Official MV, Music,207,short,23811628,336547,20575,0,7,56,13,3,5,2,1,0,2,1,6,0,0,0,1,1,0,0
Exynos 2200: Playtime is over | Samsung, Science & Technology,60,short,21795361,15349,1590,0,1,87,2,1,3,1,1,0,0,0,4,0,0,0,0,0,0,0
Ohaa çok korkunç😱🤯, Non,15,short,20818974,957919,1841,0,4,13,0,8,26,1,7,0,3,0,11,4,8,8,0,0,4,0
Apink 에이핑크 'Dilemma' MV, Entertainment,218,short,17078796,214379,21213,0,8,37,1,10,2,0,5,0,5,1,24,2,0,0,1,0,2,0
The Journey of PET | ‘Continue’ to take care of the Planet, Entertainment,184,short,17000618,832,96,0,0,75,2,0,3,2,1,0,1,0,2,2,0,0,0,0,0,0
Galaxy S22 Ultra Official film: The epic standard | Samsung, Science & Technology,36,short,16447660,33227,1681,0,3,76,4,2,2,3,3,0,0,0,1,0,0,1,1,0,4,0
Galaxy S22 Ultra: Official Introduction Film | Samsung, Science & Technology,207,short,16422357,54370,2903,0,1,87,0,2,4,3,0,0,1,0,0,1,0,0,0,0,1,0
Samsung Galaxy Unpacked February 2022: Official Trailer, Science & Technology,30,short,15559994,17641,1183,0,5,73,1,2,2,1,0,0,1,1,2,6,0,5,0,0,1,0
Samsung Galaxy Unpacked February 2022: Tiger in the city, Science & Technology,39,short,15395225,16425,1132,0,7,69,1,3,5,0,2,0,1,0,2,3,1,3,0,0,2,1
TAEYEON 태연 'INVU' MV, Music,218,short,14998820,798358,38712,0,2,55,18,5,4,2,5,0,2,0,5,1,0,0,0,1,0,0
We are behind every wish | Samsung, Science & Technology,179,short,12884574,5064,368,0,3,92,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0
"Punjabiyan Di Dhee (Full Song) Guru Randhawa Ft Bohemia | Neeru Bajwa | Preet H | Rupan B, Bhushan K", Music,197,short,12371435,427653,21559,0,16,55,0,1,3,9,2,0,2,0,4,1,0,0,0,0,0,6
DRIPPIN(드리핀) ‘Villain’ MV, Entertainment,205,short,11507177,53854,6136,0,7,57,4,6,3,0,1,0,0,0,0,0,0,21,0,0,0,0
TAEYEON 태연 'Can't Control Myself' MV, Music,206,short,11020343,542473,20529,0,1,49,32,3,7,0,4,0,2,0,1,1,0,0,0,0,0,0
[STATION : NCT LAB] MARK 마크 'Child' MV, Music,218,short,10087372,1088249,75131,0,10,51,3,6,2,0,4,0,4,1,2,0,0,6,0,2,0,0
[M/V] 로켓펀치(Rocket Punch) 'CHIQUITA', Entertainment,195,short,8720804,57077,4661,0,9,44,10,8,2,1,4,0,1,5,7,1,1,1,0,0,3,0
ASTRO 아스트로 진진&라키 - 숨 좀 쉬자(Just Breath) M/V, Entertainment,209,short,7403003,184587,23470,0,1,35,4,31,6,0,3,0,0,12,5,1,2,0,0,0,0,0
P1Harmony (피원하모니) - 'Do It Like This' MV, Entertainment,238,short,7285149,205689,17742,0,3,71,1,9,7,0,2,0,0,0,0,4,1,0,0,1,0,0
The Freestyle: Official Launch Film | Samsung, Science & Technology,73,short,7174770,9482,391,0,3,84,1,1,4,0,0,0,1,0,1,4,0,0,0,0,1,0
임시완 큐브｜JTBC봐야지 #shorts, Entertainment,39,short,6340954,160425,2247,0,0,2,95,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
[최초공개] Kep1er(케플러) - MVSK (4K) | Kep1er DEBUT SHOW | Mnet 220103 방송, Entertainment,211,short,6240423,282389,9037,0,1,64,12,6,0,0,0,0,0,13,2,1,0,0,0,0,0,0
[NMIXX] Debut Trailer, Music,101,short,6186906,491522,42245,0,6,65,5,7,3,0,2,0,1,2,2,1,0,2,0,0,0,0
WOOZI 'Ruby' Official MV, Music,165,short,5823612,535955,29064,0,4,59,8,7,11,0,1,0,1,1,4,1,1,0,0,1,1,0
[MV] VIVIZ _ BOP BOP!, Entertainment,225,short,5814331,330466,22403,0,1,49,10,11,8,4,4,0,2,1,6,3,0,0,0,0,0,0
(ENG sub) [가요대제전 4K 직캠] 임윤아&이준호 'Señorita' (YOONA&JUNHO FanCam) @MBCMusicFestival_211231 #예능연구소직캠, Music,173,short,5790174,89483,3011,0,3,37,29,5,8,1,6,0,0,0,3,2,1,1,0,1,3,0
[단독샷캠] 에스파 'Dreams Come True' 단독샷 별도녹화│aespa ONE TAKE STAGE│@SBS Inkigayo_2022.01.09., Entertainment,221,short,5733886,119603,2357,0,3,36,26,4,2,2,1,1,1,21,1,1,0,0,0,1,0,0
Galaxy Z Flip3: Flex Mode for your swing | Samsung, Science & Technology,16,short,5609039,3009,153,0,7,80,5,0,4,0,1,0,0,0,1,0,0,2,0,0,0,0
TEMPEST (템페스트) - 'Bad News' MV, Music,222,short,6482639,289350,27184,0,2,47,2,12,5,0,6,0,2,0,13,2,0,0,0,0,1,0
BLACKPINK 2022 WELCOMING COLLECTION PREVIEW, Music,31,short,5193933,770600,35609,0,2,57,7,5,5,1,1,0,0,0,11,1,0,1,0,1,5,0
[릴레이댄스] Kep1er(케플러) - WA DA DA (4K), Entertainment,204,short,4750364,293034,5796,0,2,41,27,11,4,0,1,1,1,8,0,2,1,0,0,0,0,0
"Stray Kids ""ODDINARY"" Trailer", Music,87,short,4328431,817306,50041,0,10,58,2,8,3,2,4,0,1,0,4,0,2,0,0,0,2,0
